#adjectives_kung_fu_panda_comented (1)
bandit|undefined|bandit.jpg|A robber or outlaw belonging to a gang.|0_1NU60qHWs
tipper|undefined|tipper.jpg|A customer who leaves a large/small extra amount of money for the person who has provided them with a service.|0_1NU60qHWs
secret|undefined|secret.jpg|Not known or seen or not meant to be known or seen by others.|0_1NU60qHWs
survive|undefined|survive.jpg|Continue to live or exist, especially in spite of danger or hardship.|0_1NU60qHWs
warrior|undefined|warrior.jpg|A brave or experienced soldier or fighter.|0_1NU60qHWs
energy|undefined|energy.jpg|Power derived from the utilization of physical or chemical resources.|0_1NU60qHWs
laughter|undefined|laughter.jpg|The act or sound of laughing.|0_1NU60qHWs
to train|undefined|to train.jpg|To prepare someone or yourself for a job, activity, or sport.|0_1NU60qHWs
#adjectives_trolls_corrected
neck|undefined|neck.jpg|The part of the body that joins the head to the shoulders.|DNHmujbuC74
majesty|undefined|majesty.jpg|The title used to speak to or about a king or queen.|DNHmujbuC74
tooth|undefined|tooth.jpg|One of the hard, white objects in the mouth that are used for biting and chewing.|DNHmujbuC74
deep|undefined|deep.jpg|Going or being a long way down from the top or surface, or being of a particular distance from the top to the bottom.|DNHmujbuC74
jealous|undefined|jealous.jpg|Envious, wishing you had what another person has.|DNHmujbuC74
bright|undefined|bright.jpg|Full of light, shining.|DNHmujbuC74
nice|undefined|nice.jpg|Pleasant, enjoyable, or satisfactory.|DNHmujbuC74
alive|undefined|alive.jpg|Living, not dead.|DNHmujbuC74
assume|undefined|assume.jpg|To accept something to be true without question or proof.|DNHmujbuC74
kid|verb|kid_verb.jpg|To say something as a joke.|DNHmujbuC74
#adverbs_pf_frequency_1_dragon_ball
punch|noun|punch.jpg|A forceful hit with a fist (= closed hand).|g9WDeud275U
cruise|noun|cruise.jpg|A journey on a large ship for pleasure, during which you visit several places.|g9WDeud275U
scoff|verb|scoff.jpg|To laugh and talk about a person or idea in a way that shows that you think they are stupid or silly.|g9WDeud275U
amusement park|noun|amusement park.jpg|A place where people can go to enjoy games, rides, and other activities.|g9WDeud275U
deserve|verb|deserve.jpg|To have earned or to be given something because of the way you have behaved or the qualities you have.|g9WDeud275U
keep up|phrasal verb|keep up.jpg| To continue to do or have something.|g9WDeud275U
mood|noun|mood.jpg| The way you feel at a particular time.|g9WDeud275U
carry|verb|carry.jpg|To hold something or someone with your hands, arms, or on your back and transport it, him, or her from one place to another.|g9WDeud275U
octupus|noun|octopus.jpg|A sea creature with a soft, oval body and eight tentacles (= long parts like arms).|g9WDeud275U
kid|noun|kid_noun.jpg|Informal a child.|g9WDeud275U
#Aladdin_imperatives (7)
thief|noun|thief.jpg|A person who steals, a robber.|JcMtWwiyzpU
stumble|verb|stumble.jpg|To strike the foot against something, as in walking or running.|JcMtWwiyzpU
dizzy|adjective|dizzy.jpg|Having a sensation of whirling and a tendency to fall.|JcMtWwiyzpU
summon|verb|summon.jpg|To call or notify to appear at a specified place, especially before a court.|JcMtWwiyzpU
oath|noun|oath.jpg|A formally affirmed statement or promise accepted as an equivalent of an appeal to a deity or to a revered person or thing.|JcMtWwiyzpU
dare|verb|dare.jpg|To have the necessary courage or boldness for something; be bold enough.|JcMtWwiyzpU
in charge|adverb|in charge.jpg|In control or with overall responsibility.|JcMtWwiyzpU
loyalty|noun|loyalty.jpg|The state of being faithful. Be, believe and stand next to someone no matter what.|JcMtWwiyzpU
breath|noun|breath.jpg|The air inhaled and exhaled in respiration.|JcMtWwiyzpU
shooting star|noun|Shooting star.jpg|a small, rapidly moving meteor burning up on entering the earth's atmosphere.|JcMtWwiyzpU
#aladdin
prince|undefined|prince.jpg|An important male member of a royal family, especially a son or grandson of the king or queen.|Cgp644Walyk
gray area|undefined|gray area.jpg|Uncertainty.|Cgp644Walyk
snuggle|undefined|snuggle.jpg|To move yourself into a warm and comfortable position, especially one in which your body is against another person or covered by something.|Cgp644Walyk
power|undefined|power.jpg|A natural skill or an ability to do something.|Cgp644Walyk
deal|undefined|deal.jpg|An agreement or an arrangement, especially in business.|Cgp644Walyk
detail|undefined|detail.jpg|A single piece of information or fact about something.|Cgp644Walyk
understand|undefined|understand.jpg|To know the meaning of something that someone says.|Cgp644Walyk
marry|undefined|marry.jpg|To become the legally accepted husband or wife of someone in an official or religious ceremony.|Cgp644Walyk
#Alan_Turin(1) (1)#41G7oY_qyw4
developed|verb|developed.jpg|Past od develop (to elaborate or expand in detail).|41G7oY_qyw4
decipher|verb|decipher.jpg|To discover the meaning of (anything obscure or difficult to trace or understand).|41G7oY_qyw4
breakthrough|noun|breakthrough.jpg|A military movement or advance all the way through and beyond an enemy's front-line defense.|41G7oY_qyw4
portrait|noun|portrait.jpg|A verbal picture or description, usually of a person.|41G7oY_qyw4
newsprint|noun|newsprint.jpg|A low-grade, machine-finished paper made from wood pulp and a small percentage of sulfite pulp, used chiefly for newspapers.|41G7oY_qyw4
billboards|noun|billboards.jpg|A flat surface or board, usually outdoors, on which large advertisements or notices are posted.|41G7oY_qyw4
#Barry_SimPre#1CZ7mBSLH1c
fuzz|noun|fuzz.jpg|A fluffy or frizzy mass of hair or fiber.|1CZ7mBSLH1c
sharp|adjective|sharp.jpg|(Of an object) having an edge or point that is able to cut or pierce something.|1CZ7mBSLH1c
hitchhiked|verb|hitchhiked.jpg|Travel by getting free rides in passing vehicles.|1CZ7mBSLH1c
sting|noun|sting.jpg|A small sharp-pointed organ at the end of the abdomen of bees, wasps, ants, and scorpions, capable of inflicting a painful or dangerous wound by injecting poison.|1CZ7mBSLH1c
orientation|noun|orientation.jpg|A program of introduction for newcomers to a college or other institution.|1CZ7mBSLH1c
#can-_superman (1)#9B6DMShBV6k
addicted|adjective|addicted.jpg|Unable to stop taking something, or doing something as a habit.|9B6DMShBV6k
splash|noun|splash.jpg|A small amount of a liquid that has fallen or been dropped.|9B6DMShBV6k
weakness|noun|weakness.jpg|A particular part or quality of someone or something that is not good or effective.|9B6DMShBV6k
breakable|adjective|breakable.jpg|Something that is breakable might easily break.|9B6DMShBV6k
exhausting|adjective|exhausting.jpg|Making you feel extremely tired.|9B6DMShBV6k
features|noun|features.jpg|A typical quality or an important part of something.|9B6DMShBV6k
